DOC_NAME,TOTAL_LIVESENDS,TOTAL_CLIENT_OPENS,OPEN_RATE
FLYER template 2020 - English_2020-Sep-22,59,21,35.59
Invitación Semana de la Ciberseguridad 2020,29,7,24.14
Think general client invite,67,17,25.37
IBM IT Infrastructure at Think2020 Brochure - share with your clients,87,22,25.29
Power Systems Briefing - IBM Hybrid Cloud Invitation_2020-Jul-28,36,8,22.22
"Anthem, Inc. | IBM",62,18,29.03
Brochure - Cloud Pak for Data (5/1/20),38,14,36.84
Invitación THINK SUMMIT,52,9,17.31
Invitation_English_SEE SALES,25,4,16.0
SAP HANA on Power Client Presentation_2020-Jan-16,31,14,45.16
EUSummit-registertoday,34,6,17.65
Invitation pdf,27,3,11.11
Invitation IT,21,6,28.57
IBM Return to Workplace Playbook,66,44,66.67
IBM Storage builds your journey to AI_2020-Jul-13,26,5,19.23
Client Invitation Mail for TechU2020 - English_2020-Sep-22,24,9,37.5
Oracle on IBM Power Systems Summary_2020-Aug-04,25,7,28.0
COVID-19 Action Guide,21,9,42.86
Join Us - THINK 2020,23,6,26.09
Send your client or partner a post-Think communication,150,29,19.33
COVID-19 client need presentations by industry,22,16,72.73
EMEA Supply Chain Academy Series Invitation Flyer,61,7,11.48
